Description,Type,Water Depth,Latitude,Longitude,USGS HUC Code,Characteristic,Result Value,Units,Project Name,Sample Date,Value Type
,,,,,,Total Sulfur, sulfate (SO4) as SO4,26,mg/l,WCTMP,11/8/2005
,,,,,,Total Total Suspended Solids (TSS),36,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Total Turbidity,25,mg/l,WCTMP,11/8/2005,Actual
,,,,,,Dissolved Dissolved Solids,220,mg/l,WCTMP,11/29/2000,Calculated
,,,,,,Total Lead,1.2,ug/l,WCTMP,11/29/2000,Actual
,,,,,,Total Mercury,2.37,ng/l,WCTMP,11/29/2000,Actual
,,,,,,Total Turbidity,12,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Cadmium,0.03,ug/l,WCTMP,11/29/2000,Actual
,,,,,,Total Calcium,35.3,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Chloride,33,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Copper,1.67,ug/l,WCTMP,11/29/2000,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.23,mg/l,WCTMP,11/29/2000
,,,,,,Total Total Organic Carbon (TOC),2.2,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Total Suspended Solids (TSS),7,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Zinc,12.3,ug/l,WCTMP,11/29/2000,Actual
,,,,,, Temperature, water,4.1,deg C,WCTMP,11/29/2000
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,91,mg/l
,,,,,,Total Magnesium,8.7,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.059,mg/l,WCTMP,11/29/2000
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.47,mg/l,WCTMP,11/29/2000
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.01,mg/l,WCTMP,11/29/2000
,,,,,,Total pH,8.08,,WCTMP,11/29/2000,Actual
,,,,,,Total Specific conductivity,343,umho/cm,WCTMP,11/29/2000,Actual
,,,,,,Total Chromium,1.06,ug/l,WCTMP,11/29/2000,Actual
,,,,,,Total Hardness, carbonate,124,mg/l,WCTMP,11/29/2000
,,,,,,Total Nickel,1.45,ug/l,WCTMP,11/29/2000,Actual
,,,,,,Total Phosphorus,0.038,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.007,mg/l,WCTMP,11/29/2000
,,,,,,Total Sulfate (SO4) as SO4,16,mg/l,WCTMP,11/29/2000,Actual
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,107,mg/l,WCTMP,11/22/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,11/22/2005
,,,,,,Total Calcium,46.8,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Lead,3.41,ug/l,WCTMP,11/22/2005,Actual
,,,,,,Total Mercury in Water,6.47,ug/l,WCTMP,11/22/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.79,mg/l,WCTMP,11/22/2005
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.011,mg/l,WCTMP,11/22/2005
,,,,,,Total Turbidity,33,mg/l,WCTMP,11/22/2005,Actual
,,,,,, Temperature, water,8.9,deg C,WCTMP,11/22/2005
,,,,,,Dissolved Dissolved Solids,380,mg/l,WCTMP,11/22/2005,Calculated
,,,,,,Total Cadmium,0.082,ug/l,WCTMP,11/22/2005,Actual
,,,,,,Total Hardness, carbonate,164,mg/l,WCTMP,11/22/2005
,,,,,,Total Nickel,3.74,ug/l,WCTMP,11/22/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.78,mg/l,WCTMP,11/22/2005
,,,,,,Total pH,7.62,,WCTMP,11/22/2005,Actual
,,,,,,Total Phosphorus,0.118,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),4.1,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Chloride,84,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.67,mg/l,WCTMP,11/22/2005
,,,,,,Total Total Suspended Solids (TSS),30,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Zinc,17.1,ug/l,WCTMP,11/22/2005,Actual
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),107,mg/l,WCTMP,11/22/2005
,,,,,,Total Chromium,2.31,ug/l,WCTMP,11/22/2005,Actual
,,,,,,Total Copper,4.41,ug/l,WCTMP,11/22/2005,Actual
,,,,,,Total Magnesium,11.4,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.156,mg/l,WCTMP,11/22/2005
,,,,,,Total Phosphorus, orthophosphate as P,0.038,mg/l,WCTMP,11/22/2005
,,,,,,Total Potassium,6.8,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Sodium,45.4,mg/l,WCTMP,11/22/2005,Actual
,,,,,,Total Specific conductance,591,umho/cm,WCTMP,11/22/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,35,mg/l,WCTMP,11/22/2005
,,,,,,Dissolved Dissolved Solids,300,mg/l,WCTMP,11/12/2002,Calculated
,,,,,,Total Cadmium,0.107,ug/l,WCTMP,11/12/2002,Actual
,,,,,,Total Calcium,39.8,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Chloride,67,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Copper,5.39,ug/l,WCTMP,11/12/2002,Actual
,,,,,,Total Magnesium,9,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total pH,7.49,,WCTMP,11/12/2002,Actual
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,94,mg/l
,,,,,,Total Lead,5.68,ug/l,WCTMP,11/12/2002,Actual
,,,,,,Total Nickel,3.89,ug/l,WCTMP,11/12/2002,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.02,mg/l,WCTMP,11/12/2002
,,,,,,Total Phosphorus,0.139,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.026,mg/l,WCTMP,11/12/2002
,,,,,,Total Zinc,24.3,ug/l,WCTMP,11/12/2002,Actual
,,,,,,Total Hardness, carbonate,137,mg/l,WCTMP,11/12/2002
,,,,,,Total Nitrogen, Kjeldahl,0.79,mg/l,WCTMP,11/12/2002
,,,,,,Total Potassium,5.9,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Sodium,32.6,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Total Organic Carbon (TOC),6.3,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Total Suspended Solids (TSS),36,mg/l,WCTMP,11/12/2002,Actual
,,,,,, Temperature, water,13,deg C,WCTMP,11/12/2002
,,,,,,Total Chromium,3.77,ug/l,WCTMP,11/12/2002,Actual
,,,,,,Total Mercury,7.83,ng/l,WCTMP,11/12/2002,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.68,mg/l,WCTMP,11/12/2002
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.011,mg/l,WCTMP,11/12/2002
,,,,,,Total Specific conductivity,468,umho/cm,WCTMP,11/12/2002,Actual
,,,,,,Total Sulfate (SO4) as SO4,22,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Sulfide,0.02,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Turbidity,37,mg/l,WCTMP,11/12/2002,Actual
,,,,,,Total Conductivity (Field),464,umhos/cm      ,WCMP,10/9/2012,Actual
,,,,,,Total Total Nitrate,0.68,mg N/L        ,WCMP,10/9/2012,Actual
,,,,,,Total Total Organic Carbon,3,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Total Suspended Solids,12,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Dissolved Oxygen (Field),7,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Nitrate + Nitrite                       ,0.708,mg N/L        ,WCMP,10/9/2012,Actual
,,,,,,Total pH (Lab),7.76,pH            ,WCMP,10/9/2012,Actual
,,,,,,Total Temperature of Water,18.3,° C           ,WCMP,10/9/2012,Actual
,,,,,,Total Total Calcium,41,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Total Magnesium,11,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Total Ortho Phosphate,0.09,mg P/L        ,WCMP,10/9/2012,Actual
,,,,,,Total Total Phosphorus                        ,0.184,mg P/L        ,WCMP,10/9/2012,Actual
,,,,,,Total Total Potassium,11,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Total Sodium,32,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Turbidity,3.33,NTU           ,WCMP,10/9/2012,Actual
,,,,,,Total Chloride                                ,59,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Conductivity (Lab),481,umhos/cm      ,WCMP,10/9/2012,Actual
,,,,,,Total pH (Field),7.8,pH            ,WCMP,10/9/2012,Actual
,,,,,,Total Total Alkalinity,120,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Total Ammonia,1.8,mg N/L        ,WCMP,10/9/2012,Actual
,,,,,,Total Total Dissolved Solids,310,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Hardness Ca2CO3,148,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,2.29,mg N/L        ,WCMP,10/9/2012,Actual
,,,,,,Total Total Nitrite,0.031,mg N/L        ,WCMP,10/9/2012,Actual
,,,,,,Total Total Sulfate,25,mg/L          ,WCMP,10/9/2012,Actual
,,,,,,Dissolved Dissolved Solids,229,mg/l,WCTMP,10/8/1998,Calculated
,,,,,,Total Mercury,29.442,ng/l,WCTMP,10/8/1998,Actual
,,,,,,Total Nickel,6.742,ug/l,WCTMP,10/8/1998,Actual
,,,,,,Total Specific conductivity,352,umho/cm,WCTMP,10/8/1998,Actual
,,,,,,Total Sulfate (SO4) as SO4,16,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total Zinc,49.921,ug/l,WCTMP,10/8/1998,Actual
,,,,,, Temperature, water,18,deg C,WCTMP,10/8/1998
,,,,,,Total Calcium,29.4,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total Chloride,43,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total Hardness, carbonate,100,mg/l,WCTMP,10/8/1998
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.129,mg/l,WCTMP,10/8/1998
,,,,,,Total Nitrogen, Kjeldahl,1,mg/l,WCTMP,10/8/1998
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.62,mg/l,WCTMP,10/8/1998
,,,,,,Total Phosphorus,0.26,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.046,mg/l,WCTMP,10/8/1998
,,,,,,Total Chromium,6.808,ug/l,WCTMP,10/8/1998,Actual
,,,,,,Total Dissolved oxygen (DO),5.6,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total Magnesium,6.4,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total pH,7.61,,WCTMP,10/8/1998,Actual
,,,,,,Total Cadmium,0.287,ug/l,WCTMP,10/8/1998,Actual
,,,,,,Total Copper,11.484,ug/l,WCTMP,10/8/1998,Actual
,,,,,,Total Lead,12.234,ug/l,WCTMP,10/8/1998,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.022,mg/l,WCTMP,10/8/1998
,,,,,,Total Total Organic Carbon (TOC),5.8,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total Total Suspended Solids (TSS),104,mg/l,WCTMP,10/8/1998,Actual
,,,,,,Total Dissolved Oxygen (Field),7.9,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total pH (Field),7.6,pH,WCMP,10/7/2009,Actual
,,,,,,Total Total Magnesium,10.6,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Nitrate,0.68,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Suspended Solids,12,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Ammonia,0.089,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Calcium,41.7,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.41,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Organic Carbon,2.9,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Ortho Phosphate,0.025,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Phosphorus,0.07,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Potassium,6.35,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Sodium,42.1,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Sulfate,26,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Conductivity (Field),520,umhos/cm,WCMP,10/7/2009,Actual
,,,,,,Total Conductivity (Lab),531,umhos/cm,WCMP,10/7/2009,Actual
,,,,,,Total Hardness Ca2CO3,148,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Alkalinity,102,mg CaCO3/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Dissolved Solids,350,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total Total Nitrite,0.009,mg/L,WCMP,10/7/2009,Actual
,,,,,,Total pH (Lab),8.05,pH,WCMP,10/7/2009,Actual
,,,,,,Total Temperature of Water,17.8,C,WCMP,10/7/2009,Actual
,,,,,,Total Turbidity,12,NTU,WCMP,10/7/2009,Actual
,,,,,,Total Nitrate + Nitrite,1.345241,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total pH (Field),8.6,pH,WCMP,10/30/2013,Actual
,,,,,,Total Total Magnesium,11.73,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Nitrite,0.02256,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Sodium,39.12,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Suspended Solids,10,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Conductivity (Field),542,umhos/cm,WCMP,10/30/2013,Actual
,,,,,,Total Conductivity (Lab),541,umhos/cm,WCMP,10/30/2013,Actual
,,,,,,Total Dissolved Oxygen (Field),8.6,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Ammonia,0.117423,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Organic Carbon,2.9,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Sulfate,34.185,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Temperature of Water,14.7,° C,WCMP,10/30/2013,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.4145,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Ortho Phosphate,0.031829,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Chloride,71.12838,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total pH (Lab),7.98,pH,WCMP,10/30/2013,Actual
,,,,,,Total Total Alkalinity,95.65663,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Calcium,46.47,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Phosphorus,0.0527,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Total Potassium,6.199,mg/L,WCMP,10/30/2013,Actual
,,,,,,Total Turbidity,12.7,NTU,WCMP,10/30/2013,Actual
,,,,,, Temperature, water,21.2,deg C,WCTMP,10/3/2005
,,,,,,Total Copper,4.86,ug/l,WCTMP,10/3/2005,Actual
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.76,mg/l,WCTMP,10/3/2005
,,,,,,Total pH,7.82,,WCTMP,10/3/2005,Actual
,,,,,,Total Phosphorus, orthophosphate as P,0.051,mg/l,WCTMP,10/3/2005
,,,,,,Total Total Suspended Solids (TSS),32,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Chromium,3.2,ug/l,WCTMP,10/3/2005,Actual
,,,,,,Total Lead,6.06,ug/l,WCTMP,10/3/2005,Actual
,,,,,,Total Nickel,3.65,ug/l,WCTMP,10/3/2005,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.153,mg/l,WCTMP,10/3/2005
,,,,,,Total Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N,0.78,mg/l,WCTMP,10/3/2005
,,,,,,Total Phosphorus,0.108,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Sulfur, sulfate (SO4) as SO4,25,mg/l,WCTMP,10/3/2005
,,,,,,Total Turbidity,37,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Zinc,26.5,ug/l,WCTMP,10/3/2005,Actual
,,,,,,Total Alkalinity, Total (total hydroxide+carbonate+bicarbonate),96,mg/l,WCTMP,10/3/2005
,,,,,,Total Cadmium,0.137,ug/l,WCTMP,10/3/2005,Actual
,,,,,,Total Calcium,41.9,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Hardness, carbonate,145,mg/l,WCTMP,10/3/2005
,,,,,,Total Nitrogen, Kjeldahl,0.6,mg/l,WCTMP,10/3/2005
,,,,,,Total Specific conductance,525,umho/cm,WCTMP,10/3/2005,Actual
,,,,,,Dissolved Dissolved Solids,340,mg/l,WCTMP,10/3/2005,Calculated
,,,,,,Total Alkalinity, Bicarbonate as CaCO3,96,mg/l,WCTMP,10/3/2005
,,,,,,Total Alkalinity, Carbonate as CaCO3,*Non-detect,mg/l,WCTMP,10/3/2005
,,,,,,Total Chloride,74,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Magnesium,9.7,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Mercury in Water,8.61,ug/l,WCTMP,10/3/2005,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.024,mg/l,WCTMP,10/3/2005
,,,,,,Total Potassium,7.9,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Sodium,38,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Total Organic Carbon (TOC),3.6,mg/l,WCTMP,10/3/2005,Actual
,,,,,,Total Dissolved Oxygen (Field),6.8,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Dissolved Solids,580,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Ortho Phosphate,0.043,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Potassium,11,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Sodium,80.8,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Hardness Ca2CO3,198,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total pH (Field),7.4,pH,WCMP,10/21/2008,Actual
,,,,,,Total Temperature of Water,15.3,C,WCMP,10/21/2008,Actual
,,,,,,Total Total Ammonia,0.161,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Nitrate,1.53,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Nitrite,0.028,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Organic Carbon,4.5,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Phosphorus,0.085,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Conductivity (Lab),885,umhos/cm,WCMP,10/21/2008,Actual
,,,,,,Total Total Alkalinity,124,mg CaCO3/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Calcium,57.2,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Sulfate,38,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Suspended Solids,13,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Turbidity,17,NTU,WCMP,10/21/2008,Actual
,,,,,,Total Conductivity (Field),839,umhos/cm,WCMP,10/21/2008,Actual
,,,,,,Total pH (Lab),7.77,pH,WCMP,10/21/2008,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.82,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Total Magnesium,13.3,mg/L,WCMP,10/21/2008,Actual
,,,,,,Total Cadmium,0.084,ug/l,WCTMP,10/20/2004,Actual
,,,,,,Total Calcium,42.4,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Lead,3.27,ug/l,WCTMP,10/20/2004,Actual
,,,,,,Total Sodium,39,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Specific conductivity,494,umho/cm,WCTMP,10/20/2004,Actual
,,,,,,Total Hardness, carbonate,148,mg/l,WCTMP,10/20/2004
,,,,,,Total Magnesium,10.2,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Nitrogen, Nitrite (NO2) as NO2,0.012,mg/l,WCTMP,10/20/2004
,,,,,,Total Phosphorus, orthophosphate as P,0.022,mg/l,WCTMP,10/20/2004
,,,,,,Total Sulfate (SO4) as SO4,25,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Total Organic Carbon (TOC),3.7,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Turbidity,21,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Zinc,14.2,ug/l,WCTMP,10/20/2004,Actual
,,,,,,Total Chloride,70,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Copper,3.7,ug/l,WCTMP,10/20/2004,Actual
,,,,,,Total Nitrogen, Kjeldahl,0.48,mg/l,WCTMP,10/20/2004
,,,,,,Total Phosphorus,0.073,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Total Suspended Solids (TSS),25,mg/l,WCTMP,10/20/2004,Actual
,,,,,, Temperature, water,14.1,deg C,WCTMP,10/20/2004
,,,,,,Dissolved Dissolved Solids,320,mg/l,WCTMP,10/20/2004,Calculated
,,,,,,Total Alkalinity, Total - carbonate, bicarbonate, & hydroxide mix,109,mg/l
,,,,,,Total Chromium,1.81,ug/l,WCTMP,10/20/2004,Actual
,,,,,,Total Mercury,7.19,ng/l,WCTMP,10/20/2004,Actual
,,,,,,Total Nickel,2.67,ug/l,WCTMP,10/20/2004,Actual
,,,,,,Total Nitrogen, ammonia (NH3) as NH3,0.119,mg/l,WCTMP,10/20/2004
,,,,,,Total Nitrogen, Nitrate (NO3) as NO3,0.89,mg/l,WCTMP,10/20/2004
,,,,,,Total pH,7.86,,WCTMP,10/20/2004,Actual
,,,,,,Total Potassium,4.3,mg/l,WCTMP,10/20/2004,Actual
,,,,,,Total Dissolved Oxygen (Field),6.9,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Temperature of Water,19.3,C,WCMP,10/2/2006,Actual
,,,,,,Total Total Alkalinity,111,mg CaCO3/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Dissolved Solids,370,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Sulfate,26,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Kjeldahl Nitrogen,0.52,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Phosphorus,0.066,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Potassium,6,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Hardness Ca2CO3,168,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Calcium,48.1,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Nitrite,0.014,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Conductivity (Field),544,umhos/cm,WCMP,10/2/2006,Actual
,,,,,,Total Conductivity (Lab),575,umhos/cm,WCMP,10/2/2006,Actual
,,,,,,Total pH (Field),7.8,pH,WCMP,10/2/2006,Actual
,,,,,,Total pH (Lab),7.84,pH,WCMP,10/2/2006,Actual
,,,,,,Total Total Ammonia,0.151,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Magnesium,11.6,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Nitrate,1.19,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Organic Carbon,3.9,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Ortho Phosphate,0.022,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Sodium,44.5,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Total Suspended Solids,17,mg/L,WCMP,10/2/2006,Actual
,,,,,,Total Turbidity,14,NTU,WCMP,10/2/2006,Actual
,,,,,,Total Chloride                                ,120,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Dissolved Oxygen (Field),6.7,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Hardness Ca2CO3,85,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total pH (Field),7.7,pH            ,WCMP,10/18/2011,Actual
,,,,,,Total Total Ammonia,3.3,mg/L,WCMP,10/18/2011,Actual
,,,,,,Total Total Dissolved Solids,530,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Total Kjeldahl Nitrogen                 ,4.7,mg/L,WCMP,10/18/2011,Actual
,,,,,,Total Total Nitrite,0.036,mg/L,WCMP,10/18/2011,Actual
,,,,,,Total Total Organic Carbon,4.9,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Total Phosphorus                        ,0.18,mg/L,WCMP,10/18/2011,Actual
,,,,,,Total Total Sodium,75.6,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Total Suspended Solids,11,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Turbidity                               ,8.8,NTU           ,WCMP,10/18/2011,Actual
,,,,,,Total Conductivity (Field),728,umhos/cm      ,WCMP,10/18/2011,Actual
,,,,,,Total Nitrate + Nitrite                       ,1.05,mg/L,WCMP,10/18/2011,Actual
,,,,,,Total Total Nitrate,1.01,mg/L,WCMP,10/18/2011,Actual
,,,,,,Total Total Sulfate,42,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Conductivity (Lab),823,umhos/cm      ,WCMP,10/18/2011,Actual
,,,,,,Total Total Alkalinity,160,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Total Magnesium,13.1,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Total Ortho Phosphate,0.074,mg/L,WCMP,10/18/2011,Actual
,,,,,,Total Total Potassium,7.7,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total pH (Lab),7.19,pH            ,WCMP,10/18/2011,Actual
,,,,,,Total Temperature of Water,16.2,° C           ,WCMP,10/18/2011,Actual
,,,,,,Total Total Calcium,12.3,mg/L          ,WCMP,10/18/2011,Actual
,,,,,,Total Hardness Ca2CO3,171,mg/L          ,WCMP,10/12/2010,Actual
,,,,,,Total pH (Field),7.9,pH            ,WCMP,10/12/2010,Actual
,,,,,,Total Total Calcium,49,mg/L          ,WCMP,10/12/2010,Actual
,,,,,,Total Total Organic Carbon,3,mg/L          ,WCMP,10/12/2010,Actual
,,,,,,Total Total Ortho Phosphate,0.059,mg/L,WCMP,10/12/2010,Actual
,,,,,,Total Chloride                                ,105,mg/L          ,WCMP,10/12/2010,Actual
,,,,,,Total Conductivity (Lab),652,umhos/cm      ,WCMP,10/12/2010,Actual
,,,,,,Total Total Magnesium,11.8,mg/L          ,WCMP,10/12/2010,Actual
,,,,,,Total Total Phosphorus                        ,0.103,mg/L,WCMP,10/12/2010,Actual
,,,,,,Total Turbidity                               ,11,NTU           ,WCMP,10/12/2010,Actual
,,,,,,Total Total Alkalinity,108,mg CaCO3/L,WCMP,10/12/2010,Actual
,,,,,,Total Total Dissolved Solids,420,mg/L          ,WCMP,10/12/2010,Actual
,,,,,,Total Total Nitrite,0.03,mg/L,WCMP,10/12/2010,Actual
,,,,,,Total Total Sodium,51.4,mg/L          ,WCMP,10/12/2010,Actual
,,,,,,Total Total Sulfate,28,mg/L          ,WCMP,10/12/2010,Actual
